id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
main9-1,bg,computer00
main9-2,talk,itsuka,あとになって、『天国』なんて呼ぶようになった
main9-2,talk,itsuka,......
main9-2,talk,itsuka,私たちは......
main9-2,talk,itsuka,あなたたちが、そうやって仮想の世界をつくり出す方法を見つけている間に、
main9-2,talk,itsuka,遠く離れている人が、すぐ隣にいるみたいに思える方法をいくつもつくり出した
main9-2,talk,itsuka,寂しくて、仕方ないから
main9-2,talk,itsuka,いつでも繋がっていたい。話をしていたい
main9-2,talk,itsuka,もちろん、私も
main9-2,talk,itsuka,こんなことになる前は、毎晩、友達と話してた
main9-2,talk,itsuka,ゲームしながら、通話を繋げて、夜中まで喋ってた
main9-2,talk,itsuka,ゲームがしたかったんじゃないよ
main9-2,talk,itsuka,ゲームは、話をする口実で
main9-2,talk,itsuka,ただ、一緒にいたかっただけ
main9-2,talk,itsuka,......
main9-2,talk,itsuka,......おかしいよね
main9-2,talk,itsuka,異常だ
main9-2,talk,itsuka,......
main9-2,talk,itsuka,あなたは......きっと、そう思うんだろな
main9-2,talk,itsuka,今思い返すと、どうしてそんなにしてまで、喋ってたかったんだろうって思う
main9-2,talk,itsuka,でも......
main9-2,talk,itsuka,でも、やっぱり、わかるんだ
main9-2,talk,itsuka,誰かと話をしていたい
main9-2,talk,itsuka,世の中が、こんなことになっても......
main9-2,talk,itsuka,......今でも、そう思う
main9-2,wait,3
main9-2,end,questSuccess
-,,,
main9-3,bg,scenario19
main9-3,wait,3
main9-3,playBgm,scenario06
main9-3,wait,2
main9-3,talk,,このコンピュータの中に、一つの仮想世界がある。
main9-3,talk,,月の『天国』にあるのと同じ、仮想の世界。
main9-3,talk,,この仮想世界は、理屈の上では、一つの宇宙としてふるまう。
main9-3,talk,,宇宙そのものがここにある、と言われている。
main9-3,talk,,このコンピュータはそれなりに古いものだけれど、それでも、本当に大昔のコンピュータのように、電流を流してゼロとイチをつくるような方法で計算しているのではない。
main9-3,talk,,今でも習慣で「電源」という言葉を使うけれど、電気で動いているわけではない。
main9-3,talk,,仮想世界というのは、そういう、コンピュータで計算をするための技術の進歩の途中で、偶然見つかったもの。
main9-3,talk,,計算するための方法を探しているところで、偶然、ここに宇宙が生まれることに気づいた。
main9-3,talk,,最初から、宇宙なんてつくり出そうとしていたわけではなかった。
main9-3,wait,1
main9-3,fadeOutTextLine
main9-3,newPage
main9-3,fadeInTextLine
main9-3,wait,1
main9-3,talk,,だから、すべてが明らかになっているわけではない。
main9-3,talk,,理屈の上では、宇宙があるとわかっているけれど
main9-3,talk,,どうしてその中身を観測しようとすると、宇宙が消滅してしまうのか、はっきり説明できていない。
main9-3,talk,,観測という外力が、あるいは情報が、その宇宙を壊してしまうのだとか。
main9-3,talk,,そういう抽象的な言説や、仮説がいろいろあるだけ。
main9-3,talk,,でも、それでも、中を覗くことができない、というのは事実で。
main9-3,talk,,あまりにも常識で。
main9-3,talk,,子供でも知っていることで。
main9-3,talk,,だから、彼女たちの暮らしているところが、このコンピュータの中にあるだなんて思わなかった。
main9-3,talk,,今でも、信じられていない。
main9-3,talk,,このコンピュータには、映像データとして映像と音声が送られてくる。
main9-3,talk,,それを再生できて、しかも、こちらの声を向こうに届けることができる。
main9-3,talk,,まるで通話をしているみたいに。
main9-3,talk,,でも、仮想世界から映像が届くなんて、通話が繋がるなんて、
main9-3,talk,,そんなことは、あり得ない。
main9-3,wait,1
main9-3,fadeOutTextLine
main9-3,newPage
main9-3,fadeInTextLine
main9-3,wait,1
main9-3,talk,,もし、本当に、これが仮想世界なのだというなら──
main9-3,talk,,いったいどうして、
main9-3,talk,,中にいる彼女たちと、話ができているのだろう？
main9-3,wait,3
main9-3,end,questSuccess
-,,,
main9-4,bg,scenario03
main9-4,fgClear
main9-4,playBgm,environment08
main9-4,wait,2
main9-4,talk,natsuno,......
main9-4,talk,natsuno,............
main9-4,wait,1
main9-4,fg,survivor00,right-right,0.5
main9-4,talk,natsuno,......あ
main9-4,talk,natsuno,......
main9-4,fg,survivor00,right-right,0.5,depress
main9-4,talk,natsuno,......ごめん
main9-4,talk,natsuno,......
main9-4,talk,natsuno,......いつから、聞いてた？
main9-4,talk,natsuno,......
main9-4,talk,natsuno,......そっか
main9-4,talk,natsuno,うん......
main9-4,talk,natsuno,今、起きたとこ
main9-4,talk,natsuno,......何時くらいだろ
main9-4,talk,natsuno,まだ暗い......
main9-4,talk,natsuno,......
main9-4,fg,survivor00,right-right,0.5,depress
main9-4,talk,natsuno,......不便だよね
main9-4,talk,natsuno,いつ、このスマホがあなたと繋がるのかわからない
main9-4,talk,natsuno,寝起きに繋がってることもあるし、
main9-4,talk,natsuno,夜中、わたしが寝てるときに繋がっちゃうこともある......よね
main9-4,talk,natsuno,......
main9-4,talk,natsuno,けど......
main9-4,talk,natsuno,それって、わたしだけ......なんだよね
main9-4,talk,natsuno,あなたは、あなたが決めたときに、コンピュータの前に座ってる
main9-4,talk,natsuno,そのとき、わたしの世界に繋がって......
main9-4,talk,natsuno,それで、わたしの世界と、あなたの世界じゃ
main9-4,talk,natsuno,流れてる時間が、違うから......
main9-4,talk,natsuno,......
main9-4,talk,natsuno,......あなたにとっての一年が
main9-4,talk,natsuno,わたしたちにとって、一週間くらいだったのは
main9-4,talk,natsuno,......あなたが、ずっと
main9-4,talk,natsuno,コンピュータの電源、切ってたから......
main9-4,talk,natsuno,......なんだよね
main9-4,talk,natsuno,あなたのコンピュータが動いてなかったから
main9-4,talk,natsuno,わたしたちの世界は、止まってた
main9-4,talk,natsuno,時間も流れずに......
main9-4,talk,natsuno,そのせいで、わたしたちの世界と、あなたの世界とじゃ、時間の進みが違う......
main9-4,talk,natsuno,......
main9-4,talk,natsuno,......あなたは
main9-4,talk,natsuno,ちゃんと、約束、守ってくれたんだね
main9-4,talk,natsuno,もう、コンピュータに触らないって
main9-4,talk,natsuno,一年も......
main9-4,talk,natsuno,......
main9-4,talk,natsuno,......でも
main9-4,talk,natsuno,わたしたちの世界で、一週間経ってるってことは
main9-4,talk,natsuno,ちょっとくらい
main9-4,talk,natsuno,電源つけてみたり、したのかな
main9-4,talk,natsuno,......
main9-4,fg,survivor00,right-right,0.5,serious
main9-4,talk,natsuno,......ねぇ
main9-4,talk,natsuno,おばあさんが七人もいるって
main9-4,talk,natsuno,どんな感じ？
main9-4,talk,natsuno,お父さんやお母さんも、たくさんいるんだよね......
main9-4,talk,natsuno,......
main9-4,talk,natsuno,おばあさんが七人もいるって、全然想像できないし
main9-4,talk,natsuno,どんな感じなのかわからないけど......
main9-4,talk,natsuno,でも、あなたにとっては、それが普通、なんだもんね
main9-4,talk,natsuno,血の繋がった人だけが家族、っていう、わたしたちの当たり前が......
main9-4,talk,natsuno,あなたにとっては、当たり前じゃないんだよね......
main9-4,talk,natsuno,......
main9-4,talk,natsuno,......やっぱり
main9-4,talk,natsuno,あなたが、寂しいって思わないっていうのが......信じられなくて
main9-4,talk,natsuno,思わないんじゃなくて、思うことが少ない......んだとしても
main9-4,talk,natsuno,あなたは......
main9-4,talk,natsuno,......
main9-4,talk,natsuno,逆に、あなたは、今までおかしいと思わなかったの？
main9-4,talk,natsuno,わたしたちと話をしてて
main9-4,talk,natsuno,家族のこととか、寂しいって気持ちのこととか......おかしいって、思わなかった？
main9-4,talk,natsuno,......
main9-4,talk,natsuno,......そっか
main9-4,talk,natsuno,世の中が......こんなことになってるんだもんね
main9-4,talk,natsuno,そっか......
main9-4,talk,natsuno,普段どおりの生活じゃないし
main9-4,talk,natsuno,人と話すことも少ないし
main9-4,talk,natsuno,変なことばっかりで......
main9-4,talk,natsuno,......そういうものなんだって、思っちゃうよね
main9-4,talk,natsuno,......
main9-4,talk,natsuno,......わたしだって
main9-4,talk,natsuno,わたしだって、あなたが、わたしたちと違うって気づけたかもしれないけど
main9-4,talk,natsuno,わたしは......自分が感染してるかもって気づいてから
main9-4,talk,natsuno,あなたと、離れ離れになるのが怖くて
main9-4,talk,natsuno,あなたのこと......知ろうともしなかった
main9-4,talk,natsuno,あなたの普段の生活のこととか
main9-4,talk,natsuno,あなたの家族のこととか
main9-4,talk,natsuno,そういうの......知ろうとしなかった......
main9-4,talk,natsuno,......
main9-4,pauseBgm
main9-4,fgRemove,survivor00,1.0
main9-4,wait,2
main9-4,talk,natsuno,......正直
main9-4,talk,natsuno,全然......実感、ないよ
main9-4,talk,natsuno,わたしがいるこの世界が......
main9-4,talk,natsuno,コンピュータの中にある、とか、いきなり言われても
main9-4,talk,natsuno,......
main9-4,talk,natsuno,......わかんないよ
main9-4,talk,natsuno,誰だって......そうでしょ
main9-4,talk,natsuno,......わけ、わかんない
main9-4,talk,natsuno,......
main9-4,talk,natsuno,......でも
main9-4,talk,natsuno,このパンデミックが始まったときだって......そう思ってた
main9-4,talk,natsuno,わけわかんなくて
main9-4,talk,natsuno,でも、あっという間にいろいろ変わっていって
main9-4,talk,natsuno,......
main9-4,talk,natsuno,......だから
main9-4,talk,natsuno,......たぶん、あなたやイツカの言ってることは、本当なんだろうなって思う
main9-4,talk,natsuno,実感できないし、わけわかんないけど......
main9-4,talk,natsuno,......
main9-4,talk,natsuno,............
main9-4,talk,natsuno,......だったら
main9-4,talk,natsuno,あなたが、そのコンピュータを壊しちゃったら
main9-4,talk,natsuno,ばらばらにしちゃったら
main9-4,talk,natsuno,この世界は──
main9-4,talk,natsuno,わたしたちは
main9-4,wait,1
main9-4,talk,natsuno,消えてなくなっちゃうのかな
main9-4,wait,3
main9-4,end,questSuccess
-,,,
main9-5,bg,scenario31
main9-5,fg,survivor00,right-right,0,depress
main9-5,playBgm,scenario06
main9-5,wait,3
main9-5,talk,natsuno,それって
main9-5,talk,natsuno,だから
main9-5,talk,natsuno,わたしたちは......
main9-5,talk,natsuno,この世界は......ゲームみたいな
main9-5,talk,natsuno,コンピュータの中の、シミュレーションみたいなので
main9-5,talk,natsuno,わたしは......
main9-5,talk,natsuno,その中で、生きてるってこと......だよね
main9-5,wait,1
main9-5,fg,survivor06,right-left,0.5
main9-5,wait,1
main9-5,talk,itsuka,......
main9-5,talk,itsuka,......厳密には、そうではないよ
main9-5,talk,itsuka,この人が言うように、私たちが想像するようなコンピュータ・シミュレーションとは違う
main9-5,talk,itsuka,外の世界のコンピュータがどんな原理なのか知らないけど、少なくとも、この世界のスマホとはまったく違う技術で動いてる
main9-5,talk,itsuka,そこでは、宇宙がそのまま再現されていて
main9-5,talk,itsuka,外の世界と同じくらい、紛れもない宇宙、らしい
main9-5,talk,itsuka,だから......これはシミュレーションではない
main9-5,talk,natsuno,......
main9-5,talk,natsuno,......でも、ここは現実じゃないんでしょ
main9-5,talk,natsuno,わたしたちは......
main9-5,talk,natsuno,コンピュータの中にいる、んでしょ......
main9-5,talk,itsuka,......
main9-5,talk,itsuka,......そうだね
main9-5,talk,itsuka,この世界がコンピュータの中にあるというのは、正しい
main9-5,talk,itsuka,コンピュータの電源が切られている間、世界は止まってしまうというのも、正しい
main9-5,talk,itsuka,そして......
main9-5,wait,1
main9-5,talk,itsuka,この世界が、誰かにつくられたものだというのも、正しい
main9-5,wait,3
main9-5,end,questSuccess
-,,,
main9-6,bg,computer00
main9-6,playBgm,scenario00
main9-6,wait,2
main9-6,talk,,イツカの言うとおり、彼女たちの世界は、シミュレーションとは違う。
main9-6,talk,,この世界にもシミュレーションやゲームはあるけれど、それは仮想世界とは違って、誰かが設計をして、擬似的な世界をつくっている。
main9-6,talk,,そこには擬似的な空間があったり、擬似的なキャラクターがいたりするけれど、
main9-6,talk,,もちろんそれは世界とは違うし、意志や人格があるわけではない。
main9-6,talk,,仮想世界は、誰かが設計してつくるものではない。
main9-6,talk,,コンピュータの上に宇宙を生み出すけれど、それがどんな宇宙になるのかすべてを決められるわけではない。
main9-6,talk,,そこには、この世界と同じ方法で時間と空間があって、生き物や人が住んでいる。
main9-6,talk,,この世界と同じように、原子や素粒子があって、ものは光の速さを超えることはない。
main9-6,talk,,人の意識だって、当然、ある。
main9-6,talk,,彼女たちは、擬似的な人格や、人工知能ではない。
main9-6,wait,1
main9-6,fadeOutTextLine
main9-6,newPage
main9-6,fadeInTextLine
main9-6,wait,1
main9-6,talk,,でも、イツカの言うとおり、
main9-6,talk,,このコンピュータの中に、彼女たちの世界はある。
main9-6,talk,,彼女たちは、つくられた世界の中で、生きている。
main9-6,wait,1
main9-6,fadeOutTextLine
main9-6,newPage
main9-6,fadeInTextLine
main9-6,wait,1
main9-6,talk,,この、現実の世界が、どうやって生まれたのかはわからない。
main9-6,talk,,神様がつくり出したのかもしれないし、あるとき偶然、いきなり生まれたのかもしれない。
main9-6,talk,,でも──
main9-6,talk,,彼女たちの世界は、そうではない。
main9-6,talk,,仮想世界は、勝手に生まれたりしない。
main9-6,talk,,誰かがコンピュータを操作して、そこに世界を生み出した。
main9-6,talk,,それが今でも、こうして動き続けている。
main9-6,pauseBgm
main9-6,wait,1
main9-6,talk,,──誰が？
main9-6,talk,,いったい──
main9-6,talk,,なんのために？
main9-6,wait,3
main9-6,end,questSuccess
-,,,
main9-7,bg,scenario31
main9-7,hideStatus
main9-7,fgClear
main9-7,playBgm,character06
main9-7,wait,3
main9-7,fg,survivor06,right-right,1.0
main9-7,talk,itsuka,誰が──については
main9-7,talk,itsuka,たぶん、
main9-7,talk,itsuka,わかってる
main9-7,talk,itsuka,あなたの祖母......だろう
main9-7,talk,itsuka,それは......たぶん、そうだと思う
main9-7,talk,itsuka,あなたの祖母の声が聞こえていた間、私はずっと彼女の言葉に耳を傾けていた
main9-7,talk,itsuka,それでわかったことは、そんなに多くない
main9-7,talk,itsuka,でも......
main9-7,talk,itsuka,この世界をつくったのは、あなたの祖母だと思う
main9-7,talk,itsuka,......
main9-7,talk,itsuka,......私は
main9-7,talk,itsuka,私は──
main9-7,talk,itsuka,どうして、この世界がつくられたのか、知りたい
main9-7,talk,itsuka,この世界がコンピュータの中にあるとか
main9-7,talk,itsuka,現実じゃないとか
main9-7,talk,itsuka,そんなのは、私にとっては半年前からわかってたこと
main9-7,talk,itsuka,そんなのは......どうでもいい
main9-7,talk,itsuka,現実でも、そうじゃなくても、いい
main9-7,talk,itsuka,......
main9-7,fg,survivor06,right-right,0.5,depress
main9-7,talk,itsuka,でも......
main9-7,fg,survivor06,right-right,0.5,default
main9-7,talk,itsuka,私は、知りたいんだ
main9-7,talk,itsuka,どうしてこの世界をつくったのか知りたい
main9-7,talk,itsuka,あの人が......何をしようとしていたのか、知りたい
main9-7,talk,itsuka,そして──
main9-7,talk,itsuka,もしかしたら、
main9-7,talk,itsuka,それがわかったら
main9-7,talk,itsuka,全部、わかるんじゃないかと思ってる
main9-7,talk,itsuka,この『寂しさ』のわけも
main9-7,talk,itsuka,パンデミックの原因も
main9-7,talk,itsuka,どうして、外の世界のあなたと繋がっているのかってことも
main9-7,talk,itsuka,......
main9-7,talk,itsuka,これは、半年前に聞こえてた声から、想像したことだけど
main9-7,talk,itsuka,ただの想像でしかないけど
main9-7,talk,itsuka,......あの人は
main9-7,talk,itsuka,あなたの祖母は......
main9-7,wait,1
main9-7,talk,itsuka,......誰かを、探していたような
main9-7,talk,itsuka,そんな、気がするんだ
main9-7,wait,3
main9-7,end,questSuccess
-,,,
main9-8,bg,scenario23
main9-8,playBgm,scenario04
main9-8,wait,2
main9-8,talk,natsuno,......あなたはさ
main9-8,talk,natsuno,どう？
main9-8,talk,natsuno,どう思う？
main9-8,talk,natsuno,あなたのおばあさんが......どうして、こんな世界、つくったんだと思う？
main9-8,talk,natsuno,......
main9-8,talk,natsuno,......なんでだろうね
main9-8,talk,natsuno,イツカが言ってたみたいに
main9-8,talk,natsuno,誰かを探してたのかな
main9-8,talk,natsuno,あなたの住んでる世界じゃない
main9-8,talk,natsuno,仮想の、コンピュータの中の世界をつくってまで
main9-8,talk,natsuno,つくったって、中の様子を見れるわけじゃない、はずなのに......
main9-8,talk,natsuno,......
main9-8,talk,natsuno,......うん
main9-8,talk,natsuno,何もわかんない
main9-8,talk,natsuno,ずっと、そう
main9-8,talk,natsuno,わかんないことばっかり
main9-8,fg,survivor00,right-right,0.5,depress
main9-8,talk,natsuno,......ほんとに
main9-8,talk,natsuno,全然、なんにも、追いつかないっていうか
main9-8,talk,natsuno,わかんないことばっかりだし
main9-8,talk,natsuno,イツカやあなたが説明してることだって
main9-8,talk,natsuno,飲み込めないっていうか
main9-8,talk,natsuno,いろいろありすぎて、受け入れられないっていうか
main9-8,talk,natsuno,......
main9-8,talk,natsuno,......でも
main9-8,talk,natsuno,イツカが、知りたいって言うなら
main9-8,talk,natsuno,あなたのおばあさんが、どうしてこの世界をつくったのか気になるなら
main9-8,talk,natsuno,それを調べたりするのは......賛成
main9-8,talk,natsuno,わたしたちにできることって、あんまりなさそうだけど......
main9-8,talk,natsuno,......
main9-8,talk,natsuno,ま、そうやって何かしてた方が
main9-8,talk,natsuno,気が紛れそうだし
main9-8,talk,natsuno,......ね
main9-8,talk,natsuno,......
main9-8,fg,survivor00,right-right,0.5,serious
main9-8,talk,natsuno,......それに
main9-8,talk,natsuno,いろいろあって、いろいろ言われて
main9-8,talk,natsuno,わけわかんない、って感じだけど
main9-8,talk,natsuno,でも、わたしたちは、とりあえず、今日生きていかないといけないわけだし
main9-8,talk,natsuno,コンピュータの中だったって、現実じゃなくったって
main9-8,talk,natsuno,ご飯食べなかったら、死んじゃうしね
main9-8,talk,natsuno,町に行って、いろんなところあさって......
main9-8,talk,natsuno,そういうのは、これからも
main9-8,talk,natsuno,続けていかないとけない......よね
main9-8,wait,3
main9-8,end,questSuccess
-,,,
main9-9,bg,computer00
main9-9,playBgm,scenario06
main9-9,wait,5
main9-9,talk,,祖母は、誰かを探していた──
main9-9,talk,,もしそれが本当なら、誰を探していたというのだろう。
main9-9,talk,,そのために仮想世界をつくったのだとしたら、
main9-9,talk,,その人は、現実にはいないことになる。
main9-9,talk,,現実にはいない人を、別の世界で見つけ出そうとした──？
main9-9,wait,1
main9-9,fadeOutTextLine
main9-9,newPage
main9-9,fadeInTextLine
main9-9,wait,1
main9-9,talk,,もし、祖母に直接聞くことができたら、と思う。
main9-9,talk,,でも、祖母はもう死んでしまった。
main9-9,talk,,月にある天国に彼女はいる。
main9-9,talk,,もちろん、話すことはできない。
main9-9,talk,,それに、仮想世界は、この現実で生きている人の意識をコピーして送り込まれているわけではない。
main9-9,talk,,天国にいる祖母だって、本当にこの世界を生きた祖母ではない。
main9-9,talk,,ただ、この世界の祖母ととてもよく似た人、よく似た人生を送った人、というだけ。
main9-9,talk,,万が一会えたとしても、その祖母がこのコンピュータのことを知っているとは限らない。
main9-9,wait,1
main9-9,fadeOutTextLine
main9-9,newPage
main9-9,fadeInTextLine
main9-9,wait,1
main9-9,talk,,仮想世界は、外から中を覗くことができない、というのが常識だから、
main9-9,talk,,本当にその人を見つけ出そうとしたのではないのかもしれない。
main9-9,talk,,誰かが、そこにいて
main9-9,talk,,会ったり、話をすることができなくても
main9-9,talk,,この世界に、ただいてくれさえすれば、それでいい。
main9-9,talk,,この世界の人々が、そんな願いを「天国」という言葉に込めているように。
main9-9,talk,,祖母も、そういう気持ちで、世界をつくったのだろうか。
main9-9,wait,1
main9-9,fadeOutTextLine
main9-9,newPage
main9-9,fadeInTextLine
main9-9,wait,1
main9-9,talk,,そうだとしたら、それはどんな人だろう。
main9-9,talk,,そうまでして、どこかで暮らしていてほしい、と願う人。
main9-9,talk,,そんな風に感じられる相手。
main9-9,talk,,恋人だろうか？
main9-9,talk,,ナツノたちほど、「寂しさ」を強く感じるわけではない。
main9-9,talk,,でも、まったく感じないわけではないし、恋をする心はもちろんある。
main9-9,talk,,この仮想世界がつくられたのは、もう六十年も前。
main9-9,talk,,祖母がまだ若かった頃。
main9-9,talk,,もしかしたら、その頃、何かあったのかもしれない。
main9-9,talk,,祖母は、誰かに恋をしていただろうか？
main9-9,pauseBgm
main9-9,talk,,誰かに恋をして──
main9-9,wait,1
main9-9,talk,,その誰かを、喪ったとか？
main9-9,wait,3
main9-9,end,ending,main9
-,,,
