id,storyImage,storySound,chapter<jpn>,storyTitle<jpn>,storyOutline<jpn>,storyTarget<jpn>
main2-8,scenario07,story00,エピソード 2 - 6,失踪,ウイルスのせいじゃないとか、語りかけられているとか、宇宙人とか。<br>そんな話をしている最中に、突然姿を消した。<br>こんな状況では、町に出たまま戻ってこないなんて珍しいことではないのかもしれない。けれど、行き先も告げずに出て行ったというなら、何か事情があるのかもしれない──<br><br>そんな風に考えるのは、都合がよすぎるだろうか。,探しに出かける
main3-1,scenario07,story00,エピソード 3 - 1,彼女の思い,憶えてる？　──彼女にそう言われて、彼女と初めて出会ったときのことを思い出した。<br>もちろん、忘れたことは一度もない。けれども、思い返してみれば、ずいぶん遠い昔のことのようだった。いつの間にか、こうしてコンピュータの前で彼女と話をすることが当たり前になっていて。<br><br>でも、どうしてか、彼女にそんな気持ちを伝えることはできなかった。,生き延びる
main3-2,-,-,-,-,-,-
main3-3,scenario09,story00,エピソード 3 - 2,一人になる,彼女は一人になった。自ら望んで。<br>そのわけを、彼女は説明してくれなかったし、問うこともできなかった。<br>いつか、説明すると彼女は言う。何かを企んでいるわけでも、隠し事をしているわけでもない。きっと、本当に、彼女自身整理がつかないのだろう。<br><br>そう思おうとしても、どうしてか、心は静かにならなかった。,旅を続ける
main3-4,scenario03,story00,エピソード 3 - 3,あなたのこと,普段どんなことをしているの、とか、そんなことを訊かれた。<br>応えようとして、だけど一瞬、考えなければならなかった。彼女と話をしているとき、自分の日々の暮らしのことは忘れている。彼女の生きる世界に入り込んだみたいに、一緒に旅しているような気になっている。<br><br>そんなことを言ったら、彼女は、どんな顔をするだろう。,旅を続ける
main3-5,scenario03,story00,エピソード 3 - 4,再会とラジオ,偶然とか、運命というものについて、思わず考えてしまった。<br>突然再会した彼女は、手にラジオをもっていた。人から生まれ出てきたというラジオ。いったいどうして、人からラジオが出てくるというのだろう。いったいどうして──彼女は、そんなものを求めて、一人でさ迷ったというのだろう。<br><br>何か、まだ明かされていないことが、たくさんありそうだった。,パンデミックの謎を追う
main4-1,scenario00,story00,エピソード 4 - 1,逆だったとしたら,もし、この広い宇宙を旅する宇宙人がいたとして、その宇宙人は何を思うだろう。たとえばよくある全身銀色の目玉の大きなあいつは、寂しいなんて言うだろうか？　<br><br>うまく想像できない。でも、広い宇宙を旅して、こんなところまでやってきたのだとしたら、きっと苦しかっただろうと、そんなことを思った。,パンデミックの謎を追う
main4-2,scenario03,story00,エピソード 4 - 2,彼女の告白,彼女は何かを隠していた。話してくれなかった。そのことが思ったよりずっと、自分でも驚くくらい、ショックだった。<br><br>気にすることなんてない。誰にだって隠しごとくらいある。そう思ってみても、気は沈んだ。<br>彼女が隠しているその内容なんて、全然考えようとも思わなかった。,パンデミックの謎を追う
main4-3,scenario00,story00,エピソード 4 - 3,ないかもしれない明日,いろんなことを試してみて、彼女たちには少しずつ何かがわかってきたみたいだった。<br><br>わたしがいなくなったらいい──彼女はそんな風に言った。どうしてそんな風に言うのかわからない。<br><br>二人は、何も話してくれない。,パンデミックの謎を追う
main4-4,scenario03,scenario03,エピソード 4 - 4,話をする理由,久しぶりに彼女と二人だけで話をした。<br>彼女に訊かれて、改めて不思議に思う。現実では会ったこともない、どこにいるのかもわからない女の子と話をしている。毎日のように。どうして、と問われても、うまく答えられなかった。<br><br>もし、明日彼女と話せなかったとしたら。<br>そのとき、自分はいったい何を思うだろう。,今日を生きる
main4-5,-,-,-,-,-,-
main4-6,-,-,-,-,-,-
main4-7,title01,endroll00,エピソード 4 - 5,さよなら,宇宙人は自分自身だった。<br>話しているこの声が、誰かの身体を狂わせているかもしれない。あるいは勘違いで、何か別の理由があるかもしれない。本当のところは、何もわからない。<br><br>だから、でも──、<br><br>もう二度と会えない彼女と、さよならをした。,何もしない
-,,,,,,
main5-1,-,-,-,-,-,-
main5-2,scenario19,scenario05,エピソード 5 - 1,月の天国,月には天国がある。<br>あの夏、亡くなってしまった祖母も、そこにいる。<br><br>何度も忘れてしまおうとしたけれど、できなかった。すべて夢だったのかもしれないと思いながら、それでも、画面越しに見た空の青さを憶えている。,コンピュータについて調べる
main5-3,-,-,-,-,-,-
main5-4,-,-,-,-,-,-
main5-5,-,-,-,-,-,-
main5-6,scenario01,scenario06,エピソード 5 - 2,一年ぶりの夏,このコンピュータは、どことも通信していない。なら、彼女たちが暮らしていた世界は、どこにあるというのだろう？<br>そう考えて、ある可能性を思いついた。でも、そんなはずはない。窓の向こうの月がどんなに大きく見えても、決して手が届くことはないように。<br><br>一年ぶりに訪れた夏。<br>返事をしたのは、知らない少女だった。,事情を聞く
main6-1,scenario30,character05,エピソード 6 - 1,スマホを拾った少女,ミナモと名乗った少女は、道端で偶然、スマホを拾ったらしい。彼女は、ナツノのところまでスマホを届けてくれるという。<br><br>どうしてスマホは、道端に捨てられていたのだろう。あれから一年、彼女たちの暮らす日々に、どんなことがあっただろう。,ナツノを探す
main6-2,scenario30,character05,エピソード 6 - 2,落としもの,一年前、このスマホはナツノから十メートル以上離れると電波を受信できなくなった。今、スマホで通信できているということは、ナツノは十メートル以内にいるはず──けれど、辺りを探しても誰もいない。<br><br>ナツノとは違うけれど、ミナモも彼女と同じくらいたくましく生きる少女だった。こんな世界では、きっとそんなでもないと生きていけないだろうと、彼女たちのことを遠くに感じた。,ナツノを探す
main6-3,scenario30,character05,エピソード 6 - 3,彼女との関係,どんな関係？<br>そう問われても、どう答えていいかわからなかった。<br><br>ある日、偶然、通話が繋がってしまっただけの関係。ただそれだけなのに、今でも彼女のことが忘れられない。この世界のことを気にかけてしまう。おかしなことのような気もする。とにかく今は、もう一度彼女と話がしたい。,ナツノを探す
main6-4,-,-,-,-,-,-
main6-5,-,-,-,-,-,-
main6-6,scenario01,scenario06,エピソード 6 - 4,彼女との再会,彼女の声を聞いた。<br><br>あの夏に帰ってきた感じがした。<br><br>一年ぶりの夏──でも、彼女たちの世界では、まだ一週間しか経っていないらしい。,話をする
main7-1,-,-,-,-,-,-
main7-2,-,-,-,-,-,-
main7-3,scenario01,scenario03,エピソード 7 - 1,一年と一週間,もう一度彼女と話そうと思ったわけを、伝えることができなかった。<br>彼女はそれを許してくれた。一年前──彼女にとっては一週間前、一方的に別れを告げたことを後ろめたく思っているのかもしれない。<br><br>スマホを捨ててしまうくらい寂しかったのだと彼女は言う。その寂しさが、今はわかる。彼女たちの生きる世界はこの世界とは別のところだけど、それでも、帰ってきたんだという感じがする。,旅を続ける
main7-4,-,-,-,-,-,-
main7-5,-,-,-,-,-,-
main7-6,scenario31,scenario06,エピソード 7 - 2,やっと見つけた,やっと見つけた──突然現れた少女は、そう言ってナツノを見た。<br>見つけた、というのは、ナツノのことだろうか？　それとも......<br><br>彼女はいったい、何を知っていて、何を探していたのだろう？,少女の話を聞く
main8-1,scenario31,character06,エピソード 8 - 1,聞こえる声,声が聞こえる──耳元で話されているみたいに。<br>半年前から、イツカには、声が聞こえていた。聞こえるはずのない声。そこにいない、どこか遠くにいる女の人の声。<br>声の主が誰なのかわからない。でも、長い間じっと聞いている中で、彼女なりにわかったことがあるようだった。<br><br>聞こえていたのは誰の声で、どうして彼女の耳に届いているのだろう？,話をする
main8-2,-,-,-,-,-,-
main8-3,computer00,character06,エピソード 8 - 2,祖母の声,半年前、突然聞こえるようになった声。<br>イツカが聞いていたその声は、祖母の声だった。一年前に亡くなった祖母。このコンピュータの、もともとの持ち主。<br><br>イツカは、声を聞いて何を知ったのだろう。もう祖母は亡くなってしまって、ここにはいない。でも、イツカは、何か知っているのかもしれない。,話をする
main8-4,-,-,-,-,-,-
main8-5,computer00,character06,エピソード 8 - 3,寂しさ,イツカは、頭の中に響く声を──祖母の声を聞いて、疑問に思った。この声の主は、何かがおかしい。自分たちと違う。やがてそれが「寂しさ」なのだと、彼女は気づく。<br><br>寂しさ。<br>彼女の言うとおりだと思った。自分や祖母は、彼女たちの感じているような「寂しさ」を、たぶん、知らない。,寂しさの話をする
main8-6,-,-,-,-,-,-
main8-7,computer00,scenario06,エピソード 8 - 4,家族,祖母は七人いる。<br>家族というのは法の上での取り決めであって、血縁のことではない。自分で決めた人と家族になる。<br><br>でもそれは、「寂しい」からではない。人は一人で生きていくのに不向きで、家族をつくる。だって、その方が効率的だから。,旅を続ける
main8-8,-,-,-,-,-,-
main8-9,scenario19,scenario05,エピソード 8 - 5,仮想世界,月にある「天国」には、死んだ人が暮らしている。<br>──と、よく言うけれど、本当は少し違う。天国にはいくつもの世界があって、そのどこかでは、この世界ではすでに死んでしまった人がまだ生きているかもしれない。死んでしまった人がまだ生きているかもしれないところ、という意味を込めて、天国と呼んでいる。<br><br>月にある「天国」には、無数のコンピュータがあって、数え切れないほどの「仮想世界」が動いている。,旅を続ける
main8-10,scenario19,scenario05,エピソード 8 - 6,外の世界,「寂しさ」がすべての原因なのだとイツカは言った。<br>スマホはいつでも誰かと話をするため、ロケットはこの宇宙の彼方に人類以外の誰かを見つけるため。彼女たちの世界は、いつの間にか、「寂しさ」に支配されている。<br><br>誰かを探し求めているんだと、彼女は言う。<br>この世界の外──彼女たちの生きる世界の外にいる、誰かを。,話をする
main9-1,-,-,-,-,-,-
main9-2,scenario03,scenario03,エピソード 9 - 1,寂しさと天国,自分たちの「寂しさ」を奇妙に思うこともある。でも、寂しさは確かにあって、消してしまうことができない。イツカはそんな話をする。<br><br>祖母の遺したこのコンピュータの中では、仮想世界が動いている。<br>そこには一つの宇宙があって、そこで人々が生きている。<br><br>彼女たちはきっと、このコンピュータの中で生きている。,旅を続ける
main9-3,scenario19,scenario06,エピソード 9 - 2,繋がっているわけ,仮想世界は、中を覗くことができない。仮想世界の内側のことを知ろうとすると、世界は崩れ去ってしまう。それが常識だったから、初めてナツノと通話ができたとき、まさか彼女が仮想世界の中にいるなんて考えもしなかった。<br><br>どうして、通信できているのだろう──でも、そんなの、彼女たちにとってはきっと些末なことかもしれない、と思う。,旅を続ける
main9-4,scenario03,scenario03,エピソード 9 - 3,別々の世界,自分が今まで生きていた世界は、コンピュータの中にある──ある日突然、そんなことを言われたら、自分はどう思うだろう？<br>うまく想像できない。何も思わないかもしれない。受け止めることができなくて。<br><br>コンピュータの中だったからどうだというのか、とか、そんな風に嘯くことができるだろうか？　本当のところは、言われてみないとわからない、と思う。,旅を続ける
main9-5,-,-,-,-,-,-
main9-6,-,-,-,-,-,-
main9-7,scenario31,character06,エピソード 9 - 4,誰かを探している,祖母は、誰かを探すために仮想世界をつくった。<br>イツカは、祖母の声を聞いてそう感じ取ったらしい。なぜ祖母はこの世界をつくったのか。それがわかれば、パンデミックも、こうして通信が繋がっている理由も、すべて明らかになるかもしれない、と彼女は言う。<br><br>祖母のことを思い出す。月の天国にいる彼女には、もう何を訊くこともできない。,話をする
main9-8,scenario23,scenario04,エピソード 9 - 5,それでも、生きていくために,わからないこと、簡単には受け入れられないことばかり。<br>それでも、ナツノは生きていこうとしている。確かに、彼女の生きる世界がコンピュータの中にあろうと、誰かがつくったものであろうと、食べなければ死んでしまう。何がわかったところで、暮らしが急になくなるわけではない。<br><br>そういう強さを感じながら、でも、不安だってたくさんあるだろうと思う。,旅を続ける
main9-9,computer00,scenario06,エピソード 9 - 6,探している人,祖母は誰を探していたのだろう？<br>祖母が仮想世界をつくったのは、彼女がコンピュータを物置に仕舞う前、まだ若かった頃。もちろん、その頃の祖母のことは知らない。彼女がどんな暮らしをしていたのかわからない。<br><br>若い頃の祖母は、恋をしたことがあっただろうか？<br>恋人が亡くなって、せめて別の世界で生きていてほしいとか、そんなことを願ったりしたのかもしれない。,旅を続ける
main10-1,-,-,-,-,-,-
main10-2,-,-,-,-,-,-
main10-3,scenario23,scenario04,エピソード 10 - 1,つくられた理由,一年前、彼女と話をするまで、こんな気持ちは知らなかった。<br>寂しさという寂しさなんて、感じたことがなかったんだと、今は思う。もちろんその頃はそれが普通で、この世界で生きる人々にとっては、当たり前のこと。<br><br>何か、生きる意味があったらいい──彼女は、一人、寂しそうにそう言った。,旅を続ける
main10-4,scenario31,story00,エピソード 10 - 2,運命なんてあるはずないけど,アカネと再会した。<br>もう何度目だろう。車で移動する音は目立つだろうけれど、それにしたって、運命めいたものを感じてしまう。<br><br>今度は、何を思って一人旅をしていたのだろう。彼女なら、この不可解な世界を解き明かしてくれるかもしれない、と期待してしまう。,話をする
main10-5,-,-,-,-,-,-
main10-6,scenario08,story00,エピソード 10 - 3,感染者,感染者が人を襲うのは、「寂しさ」のせい──<br>一人になって、ずっと感染者について調べていたアカネは、そんな想像を語った。感染者は寂しくて、話をしたくて、それで人々に近づいてくる。でもその頃には正気を失っていて、うまくコミュニケーションをとることができない。だから人を襲っているように見える。<br><br>そうだとして、どうすることもできない。明日もまた、感染した人々と戦わなければならないと思うと、気が重かった。,この世界の謎を追う
main10-7,-,-,-,-,-,-
main10-8,-,-,-,-,-,-
main10-9,-,-,-,-,-,-
main10-10,computer00,scenario06,エピソード 10 - 4,世界をつくった理由,アカネが集めた品の中に、この世界にあるのと同じコンピュータがあった。二つのコンピュータは同期していて、両方の世界から操作ができる。<br>これもまた、二つの世界を繋いでいる。感染者は、やはり二つの世界を繋げるために変容しているのだろうか。寂しさも、そのせいなのだろうか。<br><br>祖母は、なんのためにこの世界をつくったのか──それを明らかにしなければらない、と思った。,この世界の謎を追う
main11-1,scenario03,scenario03,エピソード 11 - 1,言えた義理じゃないけれど,ナツノを支えてあげてほしい。<br>言えた義理じゃないと呟きながら、イツカは心の内を漏らした。後悔もある。でも、それ以上に、この世界がつくられた理由を知りたい。彼女はその一心で、ナツノを探して旅をしてきた。<br><br>ナツノにしてやれることはあるだろうか。<br>初めて出会ったときから、何も変わっていない。できるのは、話し相手になることだけ。,この世界の謎を追う
main11-2,-,-,-,-,-,-
main11-3,-,-,-,-,-,-
main11-4,scenario24,scenario05,エピソード 11 - 2,祖母の兄,世の中って、そんなに都合よくできてるんだっけ？<br>ずっとナツノは違和感を抱いていた。うまく言葉にできないひっかかりが彼女の中にある。<br><br>祖母の兄から連絡があった。<br>彼は、祖母のことを知っていた。このコンピュータのことも、そして、ナツノたちが生きる仮想世界のことも。,彼女たちと話をする
main12-1,scenario18,scenario01,エピソード 12 - 1,鉄の管,アカネが感染していた。<br>左足から、金属の管が生えている。彼女はまだ正気を保っているように見えたけれど、倒れて、気を失ってしまった。<br><br>一年前の夏にナツノとさよならをした直後、アカネがナツノのもとを去るときには、変容し始めていたらしい。ナツノに知られたくなくて、彼女はナツノのもとを離れたのだろう。どうして、と問うナツノの声が、しばらく耳から離れなかった。,彼女たちと話をする
main12-2,-,-,-,-,-,-
main12-3,-,-,-,-,-,-
main12-4,-,-,-,-,-,-
main12-5,scenario23,scenario06,エピソード 12 - 2,偶然,高校生の祖母は、仮想世界をつくった。<br>流行っていたから。<br>おもしろそうだったから。<br>安かったから。<br><br>そのくらいの手軽さで、たった数回のクリックで、<br>世界はつくられた。,話をする
main13-1,-,-,-,-,-,-
main13-2,-,-,-,-,-,-
main13-3,scenario23,scenario02,エピソード 13 - 1,勘違い,すべては偶然だった。<br><br>祖母が誰かを探していたというのも、そのせいで二つの世界が繋がったというのも、勘違いだった。この世界がつくられたことに、理由なんかない。<br><br>世界は、気まぐれと偶然でできている。,薬を探す
main13-4,scenario23,scenario06,エピソード 13 - 2,意味なんかない,生きている意味だとか、死んだあとのことだとか。<br>そういうことを考えて眠れなくなったりする。誰だってきっと、経験があるだろう。小さい頃、一度は考えたことがあると思う。<br><br>だから、世界に意味がないなんて、そんなのは今さらで。なのに、そう言う彼女に頷いたらいいのか、それとも否定したいのか、わからなかった。,薬を探す
main13-5,-,-,-,-,-,-
main13-6,computer00,scenario06,エピソード 13 - 3,消えてしまいたい,消えてしまいたい。むしろ、世界の方が消えてくれたらいいのに。<br>そうしたら、何もかもから解放されてすっきりする。つらいとき、苦しいとき、思い浮かぶ妄想。<br><br>けれど彼女たちにとって、それはもう妄想ではない。彼女たちの手元には、彼女たちの世界をつくるコンピュータがある。それを使って、世界を消してしまうことができる。<br><br>自分だったらどうするだろう、と自問しても、答えは出ない。,時が流れるのを待つ
main13-7,scenario03,scenario03,エピソード 13 - 4,憧れとも、恋ともつかないまま,イツカが胸の内を語った。<br>彼女にとって、かつて聞こえてきた声は、祖母は、特別な存在で、その人に恋をしているのかもしれないとさえ思う。その気持ちを忘れらなくて、声の正体を、この世界をつくった理由を探し求めていた。<br><br>でも、そんなものはなかった。<br>信じたくないと話す彼女に、どんな言葉をかけていいのかわからない。,時が流れるのを待つ
main13-8,scenario00,scenario04,エピソード 13 - 5,感染者の見る夢,寂しくて、どうしようもない夢を見る。<br>どこのもわからない、真っ暗な場所を歩き回って、寂しくて寂しくて、誰かの気配を感じて駆け寄ったりする。そこでふと目を覚ますと、本当に立ち上がって歩いている。<br>そんな夢を、アカネは最近よく見るのだという。<br><br>感染して正気を失ってしまった人々の意識も、そんな夢の中に閉じ込められているのかもしれない。もしそうなら、それを助けたいと、彼女は語った。,時が流れるのを待つ
main13-9,scenario24,scenario06,エピソード 13 - 6,流れていく時間,いろんなことがあって、いろんなことがわかって。<br>だけど、状況は何も変わらない。パンデミックは終結したりしないし、世界は消え去ってもいない。<br><br>これからどうなるのだろう。どうなり得るのだろう。何も変わらず、このまま時間だけが流れていくのだろうか。彼女たちの世界では、こんなどうしようもない時間だけが、ただ続いていくのだろうか。,時が流れるのを待つ
main13-10,-,-,-,-,-,-
main13-11,-,-,-,-,-,-
main13-12,scenario24,scenario02,エピソード 13 - 7,もう二度と,もう二度と、話したくない。<br><br>そう言って、彼女は眠った。,話を聞く
main14-1,-,-,-,-,-,-
main14-2,-,-,-,-,-,-
main14-3,-,-,-,-,-,-
main14-4,scenario34,character06,エピソード 14 - 1,何もわからないまま,何もわからない。ナツノがどんな状態なのかも、どうすれば目を覚ますのかも。<br><br>当たり前だけれど、それでも彼女たちの世界は続いていく。,生きていく
main14-5,-,-,-,-,-,-
main14-6,-,-,-,-,-,-
main14-7,-,-,-,-,-,-
main14-8,scenario24,scenario07,エピソード 14 - 2,聞こえてきた声,夢だと思った。<br>まどろみの中で、夢を見ているのだと。<br><br>でも違った。確かに聞こえた。彼女の声。画面には何も映っていないけれど、確かに彼女の声を聞いた。<br><br>初めて出会ったときと同じように、返事をした。,声を聞く
main15-1,-,-,-,-,-,-
main15-2,scenario24,scenario06,エピソード 15 - 1,何もない、どこか,どこなのかわからない。スマホの電源も入っていない。<br>それでも彼女と話をすることができた。彼女がどこにいるのか、どうしてそこにいるのか何もわからない。でも、そんなのは初めて出会ったときも同じだった。彼女に、彼女の言葉で説明してもらうしかない。<br><br>今までそうだったように、これから少しずつ、何かがわかっていくといい。,歩いてみる
main15-3,scenario24,scenario07,エピソード 15 - 2,音,何かの音が聞こえる。<br>画面に何も映らないせいで、聞こえてくる音に敏感になっているだけかもしれない。彼女も、空耳のような気もする、と言う。<br><br>でもこれは、本当にただの空耳だろうか？,歩いてみる
main15-4,-,-,-,-,-,-
main15-5,-,-,-,-,-,-
main15-6,scenario24,scenario06,エピソード 15 - 3,話していたくない,話をしていると、話していたいと思う。<br>人と会うから、寂しいと思う。<br>だから、もう二度と話をしたくないのだと彼女は言った。<br><br>意味のない世界なんて消えてしまったらいい。だけど、寂しくて、誰かと話していたい。その二つの気持ちの間で、彼女は疲れ果ててしまったのだと思った。,歩いてみる
main15-7,scenario24,scenario07,エピソード 15 - 4,何もない,世界のすべては無作為なノイズで、それが人には、空や海に見えている。<br>ただの偶然で生まれた世界に、何か意味があったかもしれないと勘違いしていたのと同じように。<br><br>何もないところを歩き続けて、彼女はそんな想像をした。<br>疲労から生まれた妄言だろうか？　でも、疲れているんだと、そう切り捨ててしまうことはできなかった。,歩いてみる
main15-8,-,-,-,-,-,-
main15-9,-,-,-,-,-,-
main15-10,-,-,-,-,-,-
main15-11,-,-,-,-,-,-
main15-12,scenario23,scenario06,エピソード 15 - 5,いなくなって,錯覚が、世界をつくっている。<br><br>世の中には本当は何もなくて、あるいは偶然に生まれたノイズだけに満ち満ちていて、人はただ、勘違いや錯覚でものを見ている。<br>少なくともナツノの見ている夢は、そのように思えた。真っ暗な世界には、本当は、何もない。<br><br>だったら──そう言って、彼女は姿を消した。,ナツノを探す
main16-1,-,-,-,-,,-
main16-2,-,-,-,-,-,-
main16-3,-,-,-,-,-,-
main16-4,computer00,scenario00,エピソード 16 - 1,彼女のいない世界なら,彼女はどこにもいない。<br>消えてしまった。<br><br>本当に、消えてしまったのかもしれない。そんなことが起こっても、もう驚くことはできないだろう。<br><br>そんな世界なら、もういっそ、消えてしまった方がいいかもしれない。<br>今、目の前には、彼女たちの世界を消すボタンがある。,決断をする
main16-5,-,-,-,-,-,-
main16-6,-,-,-,-,-,-
main16-7,computer00,scenario00,エピソード 16 - 2,方法,もし声が届いたとしても、ただ呼びかけるだけでは彼女は応えてくれないだろう。もう二度と話したくない、そう言っていたのだから。<br>でも、あのコンピュータも彼女と一緒に消えた。だとしたら、彼女に返事をさせる方法は、一つだけあるかもしれない。<br><br>このコンピュータを使えば、きっと、彼女は応えてくれる。,決断をする
main16-8,-,-,-,-,-,-
main16-9,-,-,-,-,-,-
main16-10,scenario01,scenario06,エピソード 16 - 3,消してしまうつもりだった,こんな世界、消してしまいたくて。<br>もう全部、終わりにしたくて。<br>だから、一人で出ていった。声が聞こえても返事をしなかった。<br>一人になって、消してしまえると思った。<br><br>彼女は、静かに、話をする。,話をする
main16-11,-,-,-,-,-,-
main16-12,-,-,-,-,-,-
main16-13,-,-,-,-,-,-
main16-14,-,-,-,-,-,-
main16-15,-,-,-,-,-,-
main16-16,-,-,-,-,-,-
main16-17,-,-,-,-,-,-
main16-18,title01,title01,エピソード 16 - 4,夏の彼方,初めて出会ったときと同じように、彼女は北を目指して進む。<br><br>あてなんかない。<br>何かを見つけられたわけでもない。<br>意味だって、理由だってないまま。<br>それでも、彼女の旅は続いていく。<br><br>終わりも、果てもない──この、夏の彼方まで。,-
main16-99,-,-,-,-,-,-
-,,,,,,
-,,,,,,
kiko1-1,scenario10,character01,キャラクターエピソード キコ : 1,飼い犬を探す少女,旅路で偶然出会った少女は、はぐれた犬を探してキャンプから出てきたらしい。<br><br>犬のことが心配なのだろう。でも一人でキャンプを飛び出す無謀さには呆れてしまう。<br>犬のことも、北にあるキャンプのことも、道すがら少しずつ聞けるといい。,飼い犬を探す
kiko1-2,scenario10,character01,キャラクターエピソード キコ : 2,飼い犬を探す少女,ミノタローというその犬の姿はなかなか見つけられない。犬というからには生き物で、生きているというからには、きっと動き回るだろう。もうこの近くにはいないのかもしれない。<br><br>それでもキコには、この辺りにいるという確信があるようだった。彼女と飼い犬の間にある絆のようなものが、そう信じさせてくれるのだろうか。,飼い犬を探す
