id,type,tags[],ratio,rarity,size,eventProbability,once,name<jpn>,keyword<jpn>,events[],interactTags[],interactEvents[],speak,image,describe<jpn>
object_grassland00,campware,-,1,-1,1,0.5,true,たき火の跡,たき火,itemGetIdMaterial00/itemGetFood00/itemGetMaterial00,-,-,search,-,-
object_riverside01,campware,-,1,-1,2,0.5,true,風に飛ばされそうなレジャーシート,レジャーシート,battle00/itemGetCookingTool00/itemGetGun01,-,-,search,-,-
object_beach02,campware,-,1,-1,2,0.5,true,倒れたビーチパラソル,ビーチパラソル,itemGetAmmo00/battle00/itemNotFound00,-,-,search,-,-
object_beach03,campware,-,1,-1,3,0.5,true,風に飛ばされそうなサンシェード,サンシェード,itemGet00/battle00/battle00,-,-,search,-,-
object_square00,civil,-,1,-1,2,0.5,true,折れてしまった看板,看板,itemGetIdMaterial00/battle00/itemGetIdMaterial04,-,-,search,-,-
object_road00,civil,-,1,-1,2,0.5,true,腰の高さまで積まれた土嚢,土嚢,itemGetMaterial00/battle00/check00,-,-,search,-,-
object_attractions02,civil,park,1,-1,2,0.5,true,日焼けした案内看板,案内看板,battle00/itemGetHammer01/itemNotFound00,-,-,search,-,-
civil00,civil,-,1,-1,2,0.5,true,荒らされた街頭のゴミ箱,街頭のゴミ箱,itemGetMaterial00/itemGetHammer01/battle00,-,-,search,-,
object_room09,clothes,-,1,-1,1,0.5,true,捨てられた洋服,洋服,itemGetIdMaterial12/itemGetIdMaterial02/itemNotFound00,-,-,search,-,-
clothes00,clothes,-,1,-1,1,0.5,true,山積みになった衣類,衣類,itemGetIdMaterial02/itemGetIdMaterial12/itemNotFound00,-,-,search,-,
clothes01,clothes,factory,1,-1,1,0.5,true,畳まれたままの作業服,作業服,itemGetIdMaterial01/itemGetIdMaterial02/itemNotFound00,-,-,search,-,
clothes02,clothes,house,1,-1,1,0.5,true,脱ぎ捨てられたワンピース,ワンピース,itemGetIdMaterial12/itemGetFood00/itemNotFound00,-,-,search,-,
object02,container,-,1,-1,1,0.5,true,読めないステッカーの貼られた木箱,木箱,itemGetFood00/itemGetAmmo00/check00,-,-,search,object05,-
object_warehouse00,container,antique,1,-1,2,0.5,true,朽ちかけた樽,樽,itemGetFood00/itemGetIdMaterial00/itemGetHammer01,light,itemGetGun01,search,-,樽のふたは開いていた。<br>たぶん、もともと入っていたのとは違うものが詰まっているだろう。
object_hall01,container,antique,1,-1,1,0,false,変なからくりのついた宝石箱,宝石箱,unlock02/unlock02/unlock02,-,-,search,-,-
object_shop00,container,-,1,-1,2,0.5,true,未開封の段ボール箱,段ボール箱,itemGetFood00/itemGetAmmo00/itemGetMaterial00,-,-,search,object04,封をしたときは、まさかこんなかたちで見つけられるとは思っていなかっただろう。<br>とても丁寧に閉じられている。
object_office05,container,office,1,-1,1,0.5,true,封の切られた包み,包み,itemGet00/itemGetFood00/itemGetAmmo00,-,-,search,-,封は荒く切られているけれど、まだ中身が入っている。<br>何が入っているんだろう、と思うより先に、誰が受け取るはずだったんだろうと考えてしまう。
object_hall04,container,-,1,15,1,0.5,true,大きなアタッシュケース,アタッシュケース,unlockPassCode00/unlockPassCode00/unlockPassCode00,-,-,search,-,-
object_grassland01,container,-,1,-1,2,0.5,true,開いたままのプラスチックコンテナ,プラスチックコンテナ,itemGet00/itemGetIdMaterial00/itemGetHammer01,-,-,search,-,-
object_riverside00,container,camp,1,-1,1,0.5,true,中身の見えない大きなボトル,大きなボトル,itemGetMaterial00/battle00/itemNotFound00,-,-,search,-,-
object_riverside03,container,camp,1,-1,2,0.5,true,大きなクーラーボックス,クーラーボックス,itemGetFood00/itemGetCookingTool00/itemNotFound00,-,-,search,-,-
object_shore00,container,camp,1,-1,1,0.5,true,水の入ったバケツ,バケツ,itemNotFound00/itemNotFound00/itemGetMaterial00,-,-,search,-,-
object_library01,container,-,1,-1,2,0.5,true,丈夫な布でできたボックス,布でできたボックス,itemGetIdMaterial02/itemGetIdMaterial12/itemGetHammer01,-,-,search,-,-
object_carryIn02,container,shop,1,-1,3,0.5,true,積み上げられたコンテナ,コンテナ,itemGet00/battle00/itemGetBox00,-,-,search,-,-
object_carryIn03,container,shop,1,-1,3,0.5,true,山積みにされた大きな段ボール箱,大きな段ボール箱,itemGetAmmo00/itemGetFood00/itemGetIdMaterial04,-,-,search,-,-
container00,container,-,1,-1,2,0,false,真っ白な蓋のネジ止めされた箱,蓋のネジ止めされた箱,itemNotFound00/itemNotFound00/itemNotFound00,driver,itemGetGun01,search,,
container01,container,hospital,1,-1,1,0.5,true,病院のロゴが入った段ボール箱,病院のロゴが入った段ボール箱,itemGetMedicine00/itemGetMedicine00/itemNotFound00,-,-,search,-,-
object01,document,-,1,-1,1,0.5,true,積み上げられた雑誌の束,雑誌の束,itemGetIdMaterial00/itemGetMap00/battle00,-,-,search,object03,-
object_office01,document,-,1,-1,2,0.5,true,崩れかけた書類の山,書類の山,itemNotFound00/itemGetMap00/itemGetMap00,-,-,search,-,積み上げられた書類の山は、無残に崩れていた。<br>踏みつける足はあっても、片づける手はもうどこにもない。
document00,document,-,1,-1,1,0.5,true,縛られた古新聞,古新聞,itemNotFound00/itemGetDocument00/itemGetMap00,-,-,search,-,-
document01,document,-,1,-1,1,0.5,true,丁寧に積まれたハードカバーの小説,ハードカバーの小説,itemNotFound00/itemGetMap00/itemGetMap00,-,-,search,,
object_room11,electric,-,1,-1,2,0.5,true,画面の割れたテレビ,テレビ,itemGetHammer01/battle00/itemNotFound00,driver,itemGetIdMaterial03,search,-,-
object_staffRoom04,electric,house,1,-1,2,0.5,true,大きくて古臭いテレビ,古臭いテレビ,itemGetAmmo00/battle00/itemNotFound00,driver,itemGetIdMaterial03,search,-,-
object_guestRoom03,electric,kitchen,1,-1,2,0.5,true,小さな保冷ボックス,保冷ボックス,itemGetFood00/itemGetFood00/itemNotFound00,-,-,search,-,-
object_corridor03,electric,-,1,-1,1,0.5,true,繋がりそうもない電話,電話,itemGetIdAttack02/itemGetTool00/itemNotFound00,driver,itemGetIdMaterial03,search,-,-
object_office03,electric,-,1,-1,2,0.5,true,壊されて積み上げられた古いコンピュータ,古いコンピュータ,itemGetIdMaterial03/itemGetIdMaterial03/battle00,-,-,search,-,-
object_tent04,electric,camp,1,-1,2,0.5,true,炭の燃え尽きた小さなストーブ,小さなストーブ,itemGetMedicine00/check00/itemNotFound00,-,-,search,-,-
object_garden02,exterior,house,1,-1,2,0.5,true,朽ちて座れそうにないベンチ,ベンチ,itemGet00/battle00/check00,-,-,search,-,-
object_garden03,exterior,house,1,-1,3,0.5,true,薄ら土の積もったウッドデッキ,ウッドデッキ,battle00/itemGetFood00/check00,-,-,search,-,-
object_riverside02,exterior,-,1,-1,1,0.5,true,洋服の掛かった物干し竿,物干し竿,itemNotFound00/itemGetArmor00/itemGetArmor00,-,-,search,-,-
object_garden01,field,-,1,-1,3,0.5,true,緑に覆われた畑,畑,battle00/itemGetHammer00/itemGetHammer00,-,-,search,-,もともと植えられていたものが自由に育ったのだろうか。かつての畑は緑に呑まれてしまっている。
object_grassland02,field,camp,1,-1,3,0.5,true,誰かが掘った穴,穴,battle00/itemGet00/itemGetIdMaterial00,light,itemGetGun01,search,-,誰がなんのために掘ったのだろう。<br>穴を覗き込むというのは、なんだか恐ろしい。
field00,field,-,1,-1,3,0.5,true,干からびた田んぼ,田んぼ,itemGet00/battle00/battle00,-,-,search,,
field01,field,-,1,-1,3,0.5,true,何かを埋めた跡,埋めた跡,battle00/itemGet00/itemGet00,-,-,search,,
object_kitchen04,food,-,1,-1,1,0.5,true,腐って固まった食べ物,固まった食べ物,itemNotFound00/itemGetFood00/itemGetFood00,-,-,search,-,食べ物がこんなになってしまうまでに、どれくらいの時間がかかるだろう。<br>半年という時間の長さを思う。
food00,food,-,1,-1,1,0.5,true,器の中で腐ったスープ,腐ったスープ,itemNotFound00/itemGetFood00/itemNotFound00,-,-,search,,
food01,food,-,1,-1,1,0.5,true,蓋のされた鉄の鍋,鉄の鍋,itemGetCookingTool00/itemGetFood00/itemGetFood00,-,-,search,,
food02,food,camp,1,-1,1,0.5,true,放置された魚を焼いた跡,魚を焼いた跡,itemGetCookingTool00/itemGetFood00/itemNotFound00,-,-,search,,
object_room00,furniture,-,1,-1,2,0.5,true,動かない柱時計,柱時計,battle00/itemGetArmor00/itemGetArmor00,driver,itemGetAmmo00,search,-,いつからここにあって、いつから針を止めているのだろう。<br>ガラス窓の向こうの動かない振り子は、妙に重苦しい。
object_room02,furniture,-,1,-1,2,0.5,true,割れてしまった木の机,木の机,itemGetCookingTool00/itemGetFood00/battle00,keyPick,itemGetGun01,search,object06,-
object_room04,furniture,-,1,-1,2,0.5,true,革張りのソファ,ソファ,itemGet00/battle00/itemNotFound00,-,-,search,object07,-
object_room07,furniture,-,1,-1,3,0.5,true,風に揺られる黄ばんだカーテン,カーテン,itemGetArmor00/battle00/check00,-,-,search,-,-
object_room08,furniture,-,1,-1,2,0.5,true,切り裂かれた質素なベッド,質素なベッド,itemGetMedicine00/battle00/check00,-,-,search,object08,-
object_staffRoom01,furniture,office,1,-1,2,0.5,true,積み上げられたパイプチェア,パイプチェア,itemNotFound00/itemGetMaterial00/itemNotFound00,-,-,search,-,-
object_guestRoom00,furniture,house,1,-1,3,0.5,true,使われなかった真っ白なベッド,真っ白なベッド,itemGet00/battle00/itemNotFound00,-,-,search,-,-
object_guestRoom02,furniture,-,1,-1,1,0.5,true,窓の方を向いた一人掛けのソファ,一人掛けのソファ,itemGetMedicine00/battle00/check00,-,-,search,-,かつては、窓の向こうに夜景でも見えたのだろうか。<br>昼間に眺める分には、なんでもない街並みが広がってるように見える。
object_corridor00,furniture,-,1,-1,2,0.5,true,針の止まった掛け時計,掛け時計,itemGetAmmo00/itemNotFound00/itemNotFound00,-,-,search,-,-
object_corridor02,furniture,-,1,-1,2,0.5,true,割れてしまった大きな姿見,大きな姿見,hide00/hide00/hide00,-,-,search,-,-
object_hall03,furniture,luxury,1,-1,3,0.5,true,ほつれた紅色の絨毯,絨毯,itemGet00/battle00/accident00,-,-,search,-,-
object_library00,furniture,-,1,-1,2,0.5,true,円形のテーブル,テーブル,itemGetCookingTool00/battle00/itemGetFood00,-,-,search,-,-
object00,garbage,-,1,-1,2,0.5,true,砕けて積み重なったガラス,ガラス,itemGetIdHammer04/itemGetIdHammer04/itemNotFound00,-,-,search,-,-
object_kitchen01,garbage,kitchen,1,-1,1,0.5,true,半ば液体になってしまった生ごみ,生ごみ,battle00/itemGet00/itemGetFood00,-,-,search,-,-
object_shop01,garbage,-,1,-1,2,0.5,true,積み上げられた黒いゴミ袋,黒いゴミ袋,itemGet00/accident00/itemGetIdMaterial12,-,-,search,-,中身のわからないゴミ袋が大量に積み上げられていた。<br>ただただ、生ものがつまっているわけではないことを祈る。
object_shore01,garbage,sea,1,-1,2,0.5,true,湿ったゴミ袋,ゴミ袋,itemGetFood00/itemGetCookingTool00/itemNotFound00,-,-,search,-,-
garbage00,garbage,-,1,-1,2,0.5,true,傷だらけの解体された戸棚,解体された戸棚,itemGetMaterial00/battle00/check00,,,search,-,
garbage01,garbage,-,1,-1,2,0.5,true,壊された発電機,発電機,itemGetIdMaterial01/battle00/itemGetIdMaterial01,,,search,-,
garbage02,garbage,-,1,-1,2,0.5,true,壊れてしまった扇風機,扇風機,itemGetIdMaterial01/itemGetIdMaterial01/itemGetIdMaterial01,,,search,-,
object_room10,instrument,-,1,-1,1,0.5,true,折れてしまったギター,ギター,itemGetMaterial00/accident00/itemGetIdMaterial04,-,-,search,object02,ギターがある、と思ったけれど、首が折れてしまっていた。<br>こんなところでは、楽器の音色を聞くことさえできない。
instrument00,instrument,luxury,1,-1,2,0.5,true,埃を被ったグランドピアノ,グランドピアノ,itemGetIdHammer00/battle00/accident00,-,-,search,-,
instrument01,instrument,-,1,-1,2,0.5,true,艶のあるアップライトピアノ,アップライトピアノ,itemGetMaterial00/itemGetIdHammer00/check00,-,-,search,-,
instrument02,instrument,-,1,-1,1,0.5,true,シンバルの欠けたドラム,ドラム,itemGetIdMaterial00/itemGetMaterial00/accident00,-,-,search,-,
object_kitchen00,kitchenware,-,1,-1,2,0,false,出されたままのまな板,まな板,selectionItemCook00/selectionItemCook00/selectionItemCook00,-,-,search,-,真っ白なまな板がテーブルに出されていた。<br>料理をしようとして出して、それから、何が起こったのだろう。
object_kitchen02,kitchenware,-,1,-1,1,0.5,true,錆びついたシンク,シンク,itemGetIdHammer05/itemGetFood00/itemGetFood00,-,-,search,-,-
object_kitchen03,kitchenware,-,1,-1,3,0.5,true,嫌な臭いのする冷蔵庫,冷蔵庫,itemGetFood00/battle00/battle00,-,-,search,-,-
object_beach01,kitchenware,camp,1,-1,1,0,false,白くなった炭の残ったバーベキューコンロ,バーベキューコンロ,selectionItemCook00/selectionItemCook00/selectionItemCook00,-,-,search,-,-
object_tent00,light,camp,1,-1,1,0.5,true,明かりのつきそうにないランタン,ランタン,itemGetIdMaterial11/itemGetIdMaterial11/itemNotFound00,-,-,search,-,-
object_hall00,light,luxury,1,-1,2,0.5,true,煌びやかなシャンデリア,シャンデリア,itemNotFound00/itemGetMaterial00/itemNotFound00,-,-,search,-,窓からの光を受けて、シャンデリアは虚しく輝いている。
light00,light,house,1,-1,1,0.5,true,真っ白なスタンドライト,スタンドライト,itemGetIdMaterial00/itemGetIdMaterial00/itemNotFound00,-,-,search,-,
light01,light,house,1,-1,1,0.5,true,テーブルスタンドライト,テーブルスタンドライト,itemGetMaterial00/itemGetMaterial00/itemNotFound00,-,-,search,-,
object_machineRoom00,machine,factory,1,-1,3,0.5,true,鉄の塊がおかれたままの旋盤,旋盤,itemGetIdMaterial01/battle00/itemNotFound00,-,-,search,-,-
object_machineRoom01,machine,factory,1,-1,3,0.5,true,空っぽのベルトコンベア,ベルトコンベア,itemGet00/battle00/itemNotFound00,-,-,search,-,動かない機械というのは、どうしてこんなに寂しげなのだろう。<br>もう二度と使われないと思うと、不思議と胸が締めつけられる。
object_machineRoom02,machine,factory,1,-1,2,0.5,true,錆びついた裁断機,裁断機,itemGetMap00/itemGetIdMaterial01/itemNotFound00,-,-,search,-,-
object_road03,nature,-,1,-1,2,0.5,true,青々とした茂み,茂み,itemGet00/battle00/itemGetIdMaterial00,-,-,search,-,-
object_shore03,nature,sea,1,-1,3,0.5,true,洋服の干された岩場,岩場,itemGet00/battle00/itemNotFound00,-,-,search,-,-
nature00,nature,-,1,-1,4,0.5,true,小さな雑木林,雑木林,itemGet00/battle00/itemGet00,-,-,search,-,
nature01,nature,-,1,-1,3,0.5,true,苔に覆われた岩陰,岩陰,itemGet00/battle00/itemGet00,-,-,search,-,
officeSupply00,officeSupply,-,1,-1,2,0.5,true,散らかったアルミのデスク,アルミのデスク,battle00/itemGetMaterial00/accident00,keyPick,itemGet00,search,-,
officeSupply01,officeSupply,-,1,-1,2,0.5,true,鍵つきのキャビネットワゴン,キャビネットワゴン,itemGetTool00/itemGetMaterial00/itemGetTool00,keyPick,itemGet00,search,-,
officeSupply02,officeSupply,-,1,-1,2,0.5,true,古臭いプリンター,プリンター,itemGetDocument00/battle00/itemNotFound00,keyPick,itemGet00,search,-,
officeSupply03,officeSupply,-,1,-1,2,0.5,true,金属製の資料棚,資料棚,itemGetDocument00/battle00/itemGetDocument00,keyPick,itemGet00,search,-,
object_room05,picture,house,1,-1,1,0.5,true,割れた額縁に入った家族写真,家族写真,itemGetMaterial00/itemGetMedicine00/itemNotFound00,-,-,search,-,額に入った家族写真が倒れていた。<br>ずいぶん汚れてしまっている。写っている顔を見たくなくて、目をそらした。
object_corridor04,picture,-,1,-1,1,0.5,true,額に入った小さな風景画,風景画,itemGetDocument00/battle00/accident00,-,-,search,-,-
object_hall02,picture,luxury,1,-1,1,0.5,true,古めかしい絵画,絵画,itemGetDocument00/battle00/itemNotFound00,-,-,search,-,描かれているのは誰だろう。<br>誰か、と問う相手ももうここにはいない。
picture00,picture,-,1,-1,1,0.5,true,若い女性の肖像画,肖像画,itemGetDocument00/itemNotFound00/accident00,-,-,search,-,
picture01,picture,-,1,-1,1,0.5,true,真夏の海の描かれた絵,海の描かれた絵,itemGetDocument00/itemNotFound00/accident00,-,-,search,-,
object_staffRoom03,planter,-,1,-1,2,0.5,true,枯れてしまった観葉植物,観葉植物,itemNotFound00/itemGetAmmo00/itemNotFound00,-,-,search,-,葉のほとんどが茶色く枯れてしまっていた。<br>その葉も、やがて落ちてしまうだろうか。
object_garden00,planter,-,1,-1,1,0.5,true,割れた鉢植え,鉢植え,itemGetMedicine00/battle00/itemNotFound00,-,-,search,-,-
planter00,planter,-,1,-1,1,0.5,true,花の枯れたプランター,プランター,itemNotFound00/accident00/itemNotFound00,-,-,search,-,
planter01,planter,-,1,-1,1,0.5,true,サボテンの育った鉢植え,サボテン,itemNotFound00/accident00/itemNotFound00,-,-,search,-,
river00,river,-,1,-1,4,0,false,澄んだ川,澄んだ川,fishingAvailable00/fishingAvailable00/fishingAvailable00,fishing,fishing00,search,-,-
river01,river,-,1,-1,4,0,false,それほど深くない川,深くない川,fishingAvailable00/fishingAvailable00/fishingAvailable00,fishing,fishing00,search,-,-
river02,river,-,1,-1,4,0,false,少し濁った水面,濁った水面,fishingAvailable00/fishingAvailable00/fishingAvailable00,fishing,fishing01,search,-,-
river03,river,-,1,-1,4,0,false,底の見える静かな川,静かな川,fishingAvailable00/fishingAvailable00/fishingAvailable00,fishing,fishing00,search,-,
river04,river,-,1,-1,4,0,false,青空を映す穏やかな水面,穏やかな水面,fishingAvailable00/fishingAvailable00/fishingAvailable00,fishing,fishing00,search,-,
object_shop02,room,-,1,-1,3,0.5,true,穴が開いて崩れた壁,崩れた壁,itemGetAmmo00/check00/battle00,-,-,search,-,何があったのだろう、壁が崩れている。<br>つい半年前まで、ここにも、なんでもない日常があったはずなんだと思う。
object_machineRoom03,room,factory,1,-1,3,0,false,閉ざされた電子ロックの扉,電子ロックの扉,unlock01/unlock01/unlock01,-,-,search,-,-
room00,room,-,1,-1,3,0.5,true,床に開いた暗い穴,暗い穴,itemGet00/battle00/battle00,light,itemGet00,search,-,
room01,room,-,1,-1,3,0.5,true,部屋の隅の暗がり,暗がり,itemGet00/battle00/check00,light,itemGet00,search,-,
school00,school,-,1,-1,2,0.5,true,錆びた学習机,学習机,itemGetDocument00/itemGetTool00/itemNotFound00,-,-,search,-,
school01,school,-,1,-1,2,0.5,true,埃の積もった教卓,教卓,itemGetDocument00/itemGetTool00/itemNotFound00,-,-,search,-,
school02,school,-,1,-1,3,0.5,true,計算式が書かれたままの黒板,黒板,itemNotFound00/itemNotFound00/battle00,-,-,search,-,
school03,school,-,1,-1,2,0.5,true,アルミの教員用デスク,教員用デスク,itemGet00/itemGetMaterial00/accident00,keyPick,itemGet00,search,-,
school04,school,-,1,-1,2,0.5,true,空っぽになった木製のロッカー,木製のロッカー,itemGetTool00/itemGetMaterial00/accident00,-,-,search,-,
sea00,sea,-,1,-1,1,0,false,穏やかな海辺,穏やかな海辺,fishingAvailable00/fishingAvailable00/fishingAvailable00,fishing,fishing00,search,-,-
sea01,sea,-,1,-1,1,0,false,波の跳ねる岩礁,岩礁,fishingAvailable00/fishingAvailable00/fishingAvailable00,fishing,fishing00,search,-,-
sea02,sea,-,1,-1,1,0,false,泡の浮かぶ海面,海面,fishingAvailable00/fishingAvailable00/fishingAvailable00,fishing,fishing01,search,-,-
sea03,sea,-,1,-1,1,0,false,海に面した堤防,堤防,fishingAvailable00/fishingAvailable00/fishingAvailable00,fishing,fishing00,search,-,
sea04,sea,-,1,-1,1,0,false,底が見える澄んだ海辺,澄んだ海辺,fishingAvailable00/fishingAvailable00/fishingAvailable00,fishing,fishing00,search,-,
object_room03,security,house,1,-1,2,0,false,錆びついてしまった金庫,金庫,unlock00/unlock00/unlock00,-,-,search,-,-
object_warehouse01,security,antique,1,-1,2,0,false,錆びついたダイヤル錠,ダイヤル錠,unlock03/unlock03/unlock03,-,-,search,-,-
object_office02,security,shop,1,-1,2,0,false,見るからに頑丈な金庫,頑丈な金庫,unlock05/unlock05/unlock05,-,-,search,-,-
object_office04,security,office,1,-1,2,0,false,まだランプのついている電子ロックの金庫,電子ロックの金庫,unlock01/unlock01/unlock01,-,-,search,-,-
object_warehouse02,shelf,antique,1,-1,3,0.5,true,蜘蛛の巣の張った衣装棚,衣装棚,battle00/itemGet00/itemGet00,light,itemGet00,search,-,-
object_warehouse03,shelf,-,1,-1,3,0.5,true,得体のしれない薬品の詰まった棚,薬品の詰まった棚,itemGetMedicine00/battle00/itemGet00,light,itemGet00,search,-,
object_shop03,shelf,shop,1,-1,3,0.5,true,ゴミを投げ込まれた商品棚,商品棚,itemGetFood00/battle00/battle00,light,itemGet00,search,-,-
object_gallery00,shelf,gallery,1,-1,2,0.5,true,開いたままの展示台の下の棚,展示台の下の棚,itemGet00/itemGetDocument00/itemNotFound00,light,itemGet00,search,-,展示台には何やらよくわからないものが置かれている。<br>歴史的にどんな価値があっても、こんな世界では見向きもされない。
object_gallery03,shelf,gallery,1,-1,2,0.5,true,鍵が刺さったままの展示台の裏の戸棚,展示台の裏の戸棚,itemGetArmor00/itemGetFood00/itemGetMaterial00,light,itemGet00,search,-,-
shelf00,shelf,hospital,1,-1,2,0.5,true,整理された薬品棚,薬品棚,itemGetMedicine00/itemGetMedicine00/battle00,light,itemGet00,search,-,-
shelf01,shelf,hospital,1,-1,2,0.5,true,戸が開いたままの薬の仕舞われた棚,薬の仕舞われた棚,itemGetMedicine00/itemGetMedicine00/battle00,light,itemGet00,search,-,-
object_square03,shopmachine,-,1,-1,2,0.5,true,電源の失われた自動販売機,自動販売機,itemGetAmmo00/battle00/itemNotFound00,-,-,search,-,-
object_square04,shopmachine,-,1,-1,2,0.5,true,ガラスの砕けた電話ボックス,電話ボックス,battle00/itemNotFound00/itemGetGun01,-,-,search,-,-
shopmachine00,shopmachine,-,1,-1,2,0.5,true,落書きされた証明写真機,証明写真機,itemGetArmor00/battle00/itemGetGun01,-,-,search,-,
shopmachine01,shopmachine,-,1,-1,2,0.5,true,砂にまみれたガチャガチャ,ガチャガチャ,itemGetIdMaterial01/itemNotFound00/itemGetAmmo00,driver,itemGetAmmo00,search,-,
object_attractions00,shopmachine,park,1,-1,2,0.5,true,動かないチケット販売機,チケット販売機,itemNotFound00/battle00/itemNotFound00,-,-,search,-,お金を入れたって何も出てこないだろう。<br>描かれたキャラクターの笑顔が虚しい。
object_staffRoom00,stationery,-,1,-1,1,0.5,true,書類でいっぱいのリングファイル,リングファイル,itemGetAmmo00/itemGetMap00/itemNotFound00,-,-,search,-,-
stationery00,stationery,-,1,-1,1,0.5,true,ぎっちり詰まったペン立て,ペン立て,itemGetMaterial00/itemGetAmmo00/itemNotFound00,-,-,search,-,
stationery01,stationery,-,1,-1,1,0.5,true,資料の積み上げられた書類ケース,書類ケース,itemGetAmmo00/itemGetMap00/itemNotFound00,-,-,search,-,
stationery02,stationery,-,1,-1,1,0.5,true,立てかけられた何冊かのノート,何冊かのノート,itemGetMap00/itemNotFound00/itemGetMap00,-,-,search,-,
object_corridor01,statue,-,1,-1,2,0,false,薬指のない天使の像,天使の像,unlock04/unlock04/unlock04,-,-,search,-,石膏でできた天使の像には、薬指がなかった。<br>欠けているわけではなくて、取り外されているようだった。
object_square01,statue,-,1,-1,2,0.5,true,倒れてしまった女神像,女神像,itemGetAmmo00/battle00/itemNotFound00,-,-,search,-,-
object_attractions01,statue,park,1,-1,2,0.5,true,名前のわからないキャラクターの像,キャラクターの像,itemGetArmor00/itemNotFound00/itemNotFound00,-,-,search,-,-
statue00,statue,-,1,-1,2,0.5,true,太古の獣の剥製,獣の剥製,itemNotFound00/itemGetAmmo00/itemGetAmmo00,-,-,search,-,
object_strangeSound00,strangeSound,-,1,-1,1,0,true,車のエンジン音,エンジン音,speakInaudible00,-,-,-,-,-
object_strangeSound01,strangeSound,-,1,-1,1,0,true,水の滴る音,水の滴る音,speakInaudible00,-,-,-,-,-
object_strangeSound02,strangeSound,-,1,-1,1,0,true,風に転がる空き缶の音,空き缶の音,speakInaudible00,-,-,-,-,-
object_strangeSound03,strangeSound,-,1,-1,1,0,true,本のページをめくる音,ページをめくる音,speakInaudible00,-,-,-,-,-
object_strangeSound04,strangeSound,-,1,-1,1,0,true,時計の秒針のような音,秒針のような音,speakInaudible00,-,-,-,-,-
object_strangeSound05,strangeSound,-,1,-1,1,0,true,ギターの弦の響き,弦の響き,speakInaudible00,-,-,-,-,-
